Workout Start,Workout End,Exercise,Weight,Reps,Notes,Kcal,Distance,Duration,Category,Name,Bodyweight
2021-02-20 11:37,2021-02-20 12:26,"LF Chest Press",85,12,"",,,,Chest,"",
2021-02-20 11:37,2021-02-20 12:26,"LF Chest Press",85,10,"",,,,Chest,"",
2021-02-20 11:37,2021-02-20 12:26,"LF Chest Press",85,8,"Very good stimulus with slow reps",,,,Chest,"",
2021-02-20 11:37,2021-02-20 12:26,"Cable Flyes-FFA",30,12,"Good stretch and squeeze - just right",,,,Chest,"",
2021-02-20 11:37,2021-02-20 12:26,"Cable Flyes-FFA",30,10,"",,,,Chest,"",
2021-02-20 11:37,2021-02-20 12:26,"DB Skullcrusher",20,10,"",,,,Triceps,"",
2021-02-20 11:37,2021-02-20 12:26,"DB Skullcrusher",20,8,"",,,,Triceps,"",
2021-02-20 11:37,2021-02-20 12:26,"Skullcrusher EZ",30,10,"",,,,Triceps,"",
2021-02-20 11:37,2021-02-20 12:26,"Skullcrusher EZ",30,8,"Almost like smith better for this",,,,Triceps,"",
2021-02-20 11:37,2021-02-20 12:26,"Dumbbell Lateral Raises",10,12,"",,,,Shoulders,"",
2021-02-20 11:37,2021-02-20 12:26,"Dumbbell Lateral Raises",10,10,"",,,,Shoulders,"",
2021-02-20 11:37,2021-02-20 12:26,"Machine Shoulder Press-FFA",40,12,"",,,,Shoulders,"",
2021-02-20 11:37,2021-02-20 12:26,"Machine Shoulder Press-FFA",40,10,"",,,,Shoulders,"",
2021-02-19 06:10,2021-02-19 06:45,"T-bar Row",60,10,"",,,,Back,"",
2021-02-19 06:10,2021-02-19 06:45,"T-bar Row",50,10,"",,,,Back,"",
2021-02-19 06:10,2021-02-19 06:45,"Pulldowns",10,12,"",,,,Back,"",
2021-02-19 06:10,2021-02-19 06:45,"Pulldowns",100,10,"",,,,Back,"",
2021-02-19 06:10,2021-02-19 06:45,"Pulldowns",100,8,"",,,,Back,"",
2021-02-19 06:10,2021-02-19 06:45,"Face Pulls",30,12,"",,,,Back,"",
2021-02-19 06:10,2021-02-19 06:45,"Face Pulls",30,10,"",,,,Back,"",
2021-02-19 06:10,2021-02-19 06:45,"EZ Bar Curls",30,12,"",,,,Biceps,"",
2021-02-19 06:10,2021-02-19 06:45,"EZ Bar Curls",30,10,"",,,,Biceps,"",
2021-02-19 06:10,2021-02-19 06:45,"Incline Hammer Curls",20,10,"",,,,Biceps,"",
2021-02-19 06:10,2021-02-19 06:45,"Incline Hammer Curls",15,8,"",,,,Biceps,"",
2021-02-18 06:00,2021-02-18 06:36,"Leg Press-FFA",265,12,"",,,,Legs,"Legs",
2021-02-18 06:00,2021-02-18 06:36,"Leg Press-FFA",265,10,"",,,,Legs,"Legs",
2021-02-18 06:00,2021-02-18 06:36,"Leg Press-FFA",265,8,"",,,,Legs,"Legs",
2021-02-18 06:00,2021-02-18 06:36,"Seated Leg Curl-FFA",80,14,"",,,,Legs,"Legs",
2021-02-18 06:00,2021-02-18 06:36,"Seated Leg Curl-FFA",80,12,"",,,,Legs,"Legs",
2021-02-18 06:00,2021-02-18 06:36,"Seated Leg Curl-FFA",80,10,"",,,,Legs,"Legs",
2021-02-18 06:00,2021-02-18 06:36,"Calf Raises",120,10,"",,,,Legs,"Legs",
2021-02-18 06:00,2021-02-18 06:36,"Calf Raises",120,8,"",,,,Legs,"Legs",
2021-02-18 06:00,2021-02-18 06:36,"Calf Raises",110,10,"",,,,Legs,"Legs",
2021-02-18 06:00,2021-02-18 06:36,"Calf Raises",110,8,"",,,,Legs,"Legs",
2021-02-17 06:53,2021-02-17 07:36,"LF Chest Press",90,12,"",,,,Chest,"",
2021-02-17 06:53,2021-02-17 07:36,"LF Chest Press",90,10,"",,,,Chest,"",
2021-02-17 06:53,2021-02-17 07:36,"LF Chest Press",85,8,"85 about right with connection",,,,Chest,"",
2021-02-17 06:53,2021-02-17 07:36,"Cable Flyes-FFA",35,10,"",,,,Chest,"",
2021-02-17 06:53,2021-02-17 07:36,"Cable Flyes-FFA",30,10,"",,,,Chest,"",
2021-02-17 06:53,2021-02-17 07:36,"DB Skullcrusher",12.5,12,"",,,,Triceps,"",
2021-02-17 06:53,2021-02-17 07:36,"DB Skullcrusher",12.5,8,"",,,,Triceps,"",
2021-02-17 06:53,2021-02-17 07:36,"DB Skullcrusher",15,10,"",,,,Triceps,"",
2021-02-17 06:53,2021-02-17 07:36,"DB Skullcrusher",15,8,"",,,,Triceps,"",
2021-02-17 06:53,2021-02-17 07:36,"Machine Lateral Raise",20,10,"",,,,Shoulders,"",
2021-02-17 06:53,2021-02-17 07:36,"Machine Lateral Raise",20,8,"",,,,Shoulders,"",
2021-02-17 06:53,2021-02-17 07:36,"Machine Shoulder Press-FFA",40,12,"",,,,Shoulders,"",
2021-02-17 06:53,2021-02-17 07:36,"Machine Shoulder Press-FFA",40,10,"",,,,Shoulders,"",
2021-02-16 05:51,2021-02-16 06:31,"T-bar Row",60,10,"",,,,Back,"",
2021-02-16 05:51,2021-02-16 06:31,"T-bar Row",50,10,"",,,,Back,"",
2021-02-16 05:51,2021-02-16 06:31,"Pulldowns",105,12,"5 pounds heavy",,,,Back,"",
2021-02-16 05:51,2021-02-16 06:31,"Pulldowns",105,10,"",,,,Back,"",
2021-02-16 05:51,2021-02-16 06:31,"Pulldowns",105,8,"",,,,Back,"",
2021-02-16 05:51,2021-02-16 06:31,"Face Pulls",30,12,"",,,,Back,"",
2021-02-16 05:51,2021-02-16 06:31,"Face Pulls",30,10,"",,,,Back,"",
2021-02-16 05:51,2021-02-16 06:31,"EZ Bar Curls",30,12,"",,,,Biceps,"",
2021-02-16 05:51,2021-02-16 06:31,"EZ Bar Curls",30,10,"",,,,Biceps,"",
2021-02-16 05:51,2021-02-16 06:31,"Concentration Curl",15,10,"",,,,Biceps,"",
2021-02-16 05:51,2021-02-16 06:31,"Concentration Curl",15,8,"",,,,Biceps,"",
2021-02-13 12:13,2021-02-13 01:09,"Leg Press-FFA",225,6,"",,,,Legs,"",
2021-02-13 12:13,2021-02-13 01:09,"Leg Press-FFA",225,5,"",,,,Legs,"",
2021-02-13 12:13,2021-02-13 01:09,"Seated Leg Curl-FFA",65,7,"",,,,Legs,"",
2021-02-13 12:13,2021-02-13 01:09,"Seated Leg Curl-FFA",65,6,"",,,,Legs,"",
2021-02-13 12:13,2021-02-13 01:09,"T-bar Row",40,6,"",,,,Back,"",
2021-02-13 12:13,2021-02-13 01:09,"T-bar Row",40,5,"",,,,Back,"",
2021-02-13 12:13,2021-02-13 01:09,"Pulldowns",90,6,"",,,,Back,"",
2021-02-13 12:13,2021-02-13 01:09,"Pulldowns",90,5,"",,,,Back,"",
2021-02-13 12:13,2021-02-13 01:09,"LF Chest Press",70,6,"",,,,Chest,"",
