Date,Exercise,Weight,Reps,Notes,Kcal,Distance,Duration,Category,Name,Bodyweight
2020-08-14,Flex Leverage Plate Loaded Chest Press-Axiom,80,14,,,,,Chest,,174
2020-08-14,Flex Leverage Plate Loaded Chest Press-Axiom,80,12,,,,,Chest,,174
2020-08-14,Flex Leverage Plate Loaded Chest Press-Axiom,80,10,,,,,Chest,,174
2020-08-14,Machine Shoulder Press-Axiom,30,15,,,,,Shoulders,,174
2020-08-14,Machine Shoulder Press-Axiom,30,12,,,,,Shoulders,,174
2020-08-14,Machine Shoulder Press-Axiom,30,10,,,,,Shoulders,,174
2020-08-14,Hammer Strength Plate Loaded Iso-Lateral Incline Press,65,10,,,,,Chest,,174
2020-08-14,Hammer Strength Plate Loaded Iso-Lateral Incline Press,60,10,,,,,Chest,,174
2020-08-14,Hammer Strength Plate Loaded Iso-Lateral Incline Press,50,10,,,,,Chest,,174
2020-08-14,Assisted Dips-Axiom,105,12,A little light - triceps have grown + body weight decrease,,,,Triceps,,174
2020-08-14,Assisted Dips-Axiom,105,10,,,,,Triceps,,174
2020-08-14,Assisted Dips-Axiom,95,10,,,,,Triceps,,174
2020-08-14,Dumbbell Lateral Raises,12.5,12,,,,,Shoulders,,174
2020-08-14,Dumbbell Lateral Raises,12.5,10,Probably failed the tenth,,,,Shoulders,,174
2020-08-14,Dumbbell Lateral Raises,10,12,,,,,Shoulders,,174
2020-08-14,Dumbbell Lateral Raises,10,10,,,,,Shoulders,,174
2020-08-14,Cable Kickbacks,7,10,,,,,Triceps,,174
2020-08-14,Cable Kickbacks,7,8,,,,,Triceps,,174
2020-08-14,Pec Deck-Axiom,60,15,,,,,Chest,,174
2020-08-14,Pec Deck-Axiom,60,12,,,,,Chest,,174
2020-08-14,Pec Deck-Axiom,60,10,,,,,Chest,,174
2020-08-14,Standing Calf Raise Machine-Axiom,60,15,A little easier no calves yesterday,,,,Legs,,174
2020-08-14,Standing Calf Raise Machine-Axiom,60,12,,,,,Legs,,174
2020-08-14,Standing Calf Raise Machine-Axiom,60,10,,,,,Legs,,174
